type,source,status,age_rating,year,episodes,mal_score,mal_scored_by,anilist_score,score_gap_mal_anilist,num_platforms,Action,Adventure,Avant Garde,Boys Love,Comedy,Drama,Fantasy,Girls Love,Gourmet,Horror,Josei,Kids,Mystery,Romance,Sci-Fi,Seinen,Shoujo,Shounen,Slice of Life,Sports,Supernatural,Suspense
TV,original,finished_airing,r,1998.0,26,8.75,1073881,8.6,-0.15,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,original,finished_airing,r,2001.0,1,8.38,234121,8.2,-0.18,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,1998.0,26,8.22,404824,8.0,-0.22,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,2002.0,26,7.24,46578,6.8,-0.44,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
TV,manga,finished_airing,pg,2004.0,52,6.97,6967,6.5,-0.47,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2005.0,145,7.91,93802,7.6,-0.31,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg_13,2005.0,24,7.98,87305,7.6,-0.38,1,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2002.0,52,7.57,14121,7.2,-0.37,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg_13,2004.0,24,8.18,121163,8.0,-0.18,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TV,manga,finished_airing,r+,2004.0,74,8.9,524212,8.8,-0.1,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
TV,manga,finished_airing,pg_13,2002.0,220,8.02,2165170,8.0,-0.02,8,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,currently_airing,pg_13,1999.0,0,8.73,1554427,8.7,-0.03,8,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2001.0,178,7.85,88951,7.5,-0.35,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg,2004.0,12,6.48,1666,6.0,-0.48,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg_13,2004.0,26,7.88,155284,7.6,-0.28,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,manga,finished_airing,r,2004.0,24,7.36,58285,6.9,-0.46,2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
TV,original,finished_airing,r+,2003.0,22,7.76,64733,7.6,-0.16,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
TV,light_novel,finished_airing,r,2005.0,24,7.28,84326,6.8,-0.48,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2004.0,69,7.91,43426,7.5,-0.41,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2004.0,26,7.54,8603,7.2,-0.34,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1995.0,26,8.37,1233157,8.3,-0.07,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
MOVIE,original,finished_airing,r,1997.0,1,7.5,156175,7.3,-0.2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
MOVIE,original,finished_airing,r+,1997.0,1,8.57,707953,8.5,-0.07,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
TV,manga,finished_airing,r+,1997.0,25,8.61,420760,8.4,-0.21,1,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
MOVIE,manga,finished_airing,r+,1995.0,1,8.27,368713,8.0,-0.27,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True
TV,manga,finished_airing,pg_13,1996.0,94,8.27,248952,7.9,-0.37,4,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
MOVIE,manga,finished_airing,r,1997.0,1,7.55,28759,7.1,-0.45,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
MOVIE,manga,finished_airing,r+,1988.0,1,8.16,570684,7.9,-0.26,5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2002.0,26,6.95,88087,6.6,-0.35,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2005.0,24,7.31,80646,7.0,-0.31,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,2001.0,26,7.27,30089,7.0,-0.27,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2002.0,24,7.1,55784,6.7,-0.4,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
MOVIE,manga,finished_airing,r,2004.0,1,7.05,43063,6.5,-0.55,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,game,finished_airing,r,1999.0,26,6.56,6480,6.1,-0.46,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,r,2003.0,13,5.9,7284,5.5,-0.4,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,r,2004.0,26,8.29,152428,8.0,-0.29,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,original,finished_airing,r+,1999.0,26,7.03,32439,6.6,-0.43,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2002.0,26,7.39,266884,7.1,-0.29,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
TV,manga,finished_airing,r,2003.0,24,7.6,107762,7.1,-0.5,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
TV,manga,finished_airing,pg_13,2003.0,26,7.16,101510,6.6,-0.56,1,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,2003.0,26,6.72,31692,6.2,-0.52,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,r+,2004.0,12,6.55,82644,6.0,-0.55,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2004.0,12,7.41,102138,7.0,-0.41,3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,2005.0,12,7.62,61653,7.3,-0.32,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TV,4_koma_manga,finished_airing,pg_13,2002.0,26,8.08,187062,7.9,-0.18,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,r,2005.0,24,7.53,82131,7.1,-0.43,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2005.0,23,7.31,133964,7.1,-0.21,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,2005.0,25,6.36,3295,5.5,-0.86,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,light_novel,finished_airing,r,2002.0,24,7.59,252951,7.2,-0.39,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,light_novel,finished_airing,pg_13,2003.0,12,8.02,182366,7.7,-0.32,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,light_novel,finished_airing,r,2005.0,13,7.91,154256,7.7,-0.21,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,g,2004.0,26,7.65,54146,7.4,-0.25,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TV,original,finished_airing,pg_13,2004.0,25,7.28,16229,6.9,-0.38,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2004.0,13,7.42,44541,7.1,-0.32,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2005.0,13,7.96,35710,7.8,-0.16,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,r+,2005.0,24,7.0,139816,6.5,-0.5,2,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1979.0,43,7.78,69562,7.7,-0.08,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,original,finished_airing,pg_13,1998.0,1,6.73,7401,6.3,-0.43,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1985.0,50,7.92,45859,7.8,-0.12,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1986.0,47,6.72,26315,6.6,-0.12,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,novel,finished_airing,pg_13,1988.0,1,7.71,35959,7.6,-0.11,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,original,finished_airing,pg_13,1991.0,1,6.59,20842,6.3,-0.29,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1993.0,51,6.76,12980,6.6,-0.16,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1995.0,49,7.66,95354,7.1,-0.56,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1996.0,39,7.38,17882,7.2,-0.18,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,r,2002.0,50,7.74,102831,7.3,-0.44,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,r,2004.0,50,7.17,70101,6.5,-0.67,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1999.0,50,7.84,19741,8.0,0.16,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1994.0,49,7.6,40409,7.4,-0.2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2003.0,26,7.78,74383,7.4,-0.38,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2004.0,26,7.4,53587,6.9,-0.5,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2005.0,26,7.29,26244,6.9,-0.39,1,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2001.0,13,7.16,30414,6.7,-0.46,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,2005.0,12,7.27,159619,6.8,-0.47,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,2004.0,26,7.44,55336,7.1,-0.34,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,manga,finished_airing,g,1994.0,74,7.46,6029,7.0,-0.46,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,manga,finished_airing,r,2000.0,24,7.17,28827,6.5,-0.67,4,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
TV,manga,finished_airing,pg_13,2000.0,13,6.41,9961,5.9,-0.51,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,1996.0,51,7.58,27185,7.1,-0.48,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,manga,finished_airing,pg_13,2002.0,13,7.2,15211,6.6,-0.6,0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,2004.0,24,6.78,32609,6.3,-0.48,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,1997.0,52,7.59,8893,7.0,-0.59,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,original,finished_airing,g,1999.0,52,6.95,7446,6.7,-0.25,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2004.0,8,4.9,3587,3.8,-1.1,0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2003.0,26,7.36,10202,7.0,-0.36,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2003.0,26,7.89,58738,7.5,-0.39,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,1998.0,13,6.8,5516,6.4,-0.4,0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1995.0,26,6.96,7796,6.7,-0.26,2,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,2004.0,13,6.51,18268,6.0,-0.51,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2001.0,26,7.69,296042,7.5,-0.19,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
TV,manga,finished_airing,r,2003.0,51,8.12,938041,7.9,-0.22,4,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2002.0,52,7.95,50135,7.6,-0.35,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
TV,manga,finished_airing,pg_13,1995.0,52,7.6,54783,7.1,-0.5,1,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,original,finished_airing,pg_13,2004.0,13,6.45,16757,6.0,-0.45,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2005.0,13,6.88,12451,6.5,-0.38,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,game,finished_airing,pg_13,2000.0,24,6.94,9936,6.4,-0.54,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,r,2000.0,50,7.53,22392,7.0,-0.53,0,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2003.0,25,7.35,14362,6.9,-0.45,0,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
