type,source,status,age_rating,is_adult,year,episodes,duration_min,is_long_running,is_movie,mal_score,mal_scored_by,anilist_score,score_gap_mal_anilist,genres,num_platforms,Action,Adventure,Avant Garde,Boys Love,Comedy,Drama,Fantasy,Girls Love,Gourmet,Horror,Josei,Kids,Mystery,Romance,Sci-Fi,Seinen,Shoujo,Shounen,Slice of Life,Sports,Supernatural,Suspense
TV,original,finished_airing,r,False,1998.0,26.0,24.0,False,False,8.75,1073881.0,8.6,-0.15,Action | Adult Cast | Award Winning | Sci-Fi | Space,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,original,finished_airing,r,False,2001.0,1.0,115.0,False,True,8.38,234121.0,8.2,-0.18,Action | Adult Cast | Sci-Fi | Space,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,1998.0,26.0,25.0,False,False,8.22,404824.0,8.0,-0.22,Action | Adult Cast | Adventure | Sci-Fi | Shounen,1.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,False,2002.0,26.0,25.0,False,False,7.24,46578.0,6.8,-0.44,Action | Detective | Drama | Mystery | Supernatural,1.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
TV,manga,finished_airing,pg,False,2004.0,52.0,23.0,False,False,6.97,6967.0,6.5,-0.47,Action | Adventure | Fantasy | Shounen,0.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,False,2005.0,145.0,23.0,True,False,7.91,93802.0,7.6,-0.31,Shounen | Sports | Team Sports,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg_13,False,2005.0,24.0,24.0,False,False,7.98,87305.0,7.6,-0.38,Adult Cast | Comedy | Drama | Josei | Love Polygon | Romance | Visual Arts,1.0,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2002.0,52.0,23.0,False,False,7.57,14121.0,7.2,-0.37,Shounen | Sports | Team Sports,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg_13,False,2004.0,24.0,27.0,False,False,8.18,121163.0,8.0,-0.18,Action | Drama | Racing | Seinen,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TV,manga,finished_airing,r+,False,2004.0,74.0,24.0,False,False,8.9,524212.0,8.8,-0.1,Adult Cast | Drama | Mystery | Psychological | Seinen | Suspense,3.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
TV,manga,finished_airing,pg_13,False,2002.0,220.0,23.0,True,False,8.02,2165170.0,8.0,-0.02,Action | Adventure | Fantasy | Martial Arts | Shounen,8.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,currently_airing,pg_13,False,1999.0,0.0,24.0,False,False,8.73,1554427.0,8.7,-0.03,Action | Adventure | Fantasy | Shounen,8.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,False,2001.0,178.0,22.0,True,False,7.85,88951.0,7.5,-0.35,School | Shounen | Sports,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,manga,finished_airing,pg,False,2004.0,12.0,23.0,False,False,6.48,1666.0,6.0,-0.48,Combat Sports | Shounen | Sports,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
